id,location name,latitude (decimal degrees),longitude (decimal degrees)
119,City of Kerkhoven MN,45.27581,-95.690124
120,City of Kiel WI Water System Revenue,44.07841,-88.212132
121,City of Kilgore TX,32.486401,-94.816277
122,Greatrock North Water & Sanitation District,39.579511,-105.245462
123,City of Green Forest AR Water & Sewer Revenue,36.33737,-93.540972
124,County of Greene OH,39.687479,-83.894894
125,City of Giddings TX,30.321498,-96.976823
126,City of Gig Harbor WA Water & Sewer Revenue,47.051413,-122.15324
127,Village of Giltner NE,40.872817,-98.022329
128,City of Glencoe MN,44.821657,-94.272323
129,Johnson County Water District No 1,38.883907,-94.82233
130,City of Johnsonville SC Waterworks & Sewer System Revenue,34.028535,-79.710233
131,Village of Johnstown OH,40.091505,-82.483435
132,City of Hurricane UT Water Revenue,37.262531,-113.4878
133,Kendall County Water Control & Improvement District No 2A,29.943525,-98.709269
134,City of Mesa AZ Utility System Revenue,33.345176,-112.49893
135,City of Greensboro NC Combined Water & Sewer System Revenue,36.079065,-79.788665
136,Greenville Waterworks & Sewer Board,31.751667,-86.681969
137,City of Fort Lupton CO Water Revenue,40.555961,-104.383666
138,City of Fort Stockton TX,30.773298,-102.718153
139,Fort Wayne Storm Revenue District,41.091909,-85.071791
140,Lehigh County Authority,40.614241,-75.590627
141,City of Hagerstown MD,39.603621,-77.814671
142,City of Dover NH,43.293272,-71.035589
143,Greater Texoma Utility Authority,33.624524,-96.675693
144,Indiana Finance Authority,39.782976,-86.135794
145,City of Lake Elmo MN,45.037929,-92.890117
146,City of Kalamazoo MI Water Supply System Revenue,42.246266,-85.532854
147,City of Kansas City MO Water Revenue,39.005364,-94.343211
148,City of Kasson MN,44.020706,-92.869353
149,Kaufman County Fresh Water Supply District No 1-C,32.598944,-96.288377
150,City of Kaukauna WI Waterworks System Revenue,44.418226,-88.464988
151,City of Miami Beach FL Water & Sewer Revenue,25.616009,-80.50375
152,Village of Montgomery IL,41.58814,-88.430626
153,King County Water District No 49,47.490552,-121.833977
154,City of Kingsport TN,36.509681,-82.301336
155,City of Knoxville TN Water System Revenue,35.992726,-83.937721
156,City of New Ulm MN,44.246541,-94.733647
157,City of Menomonie WI,44.947751,-91.897645
158,City of Memphis TN Water Revenue,35.184553,-89.894612
159,Menifee Union School District,33.729828,-116.002239
160,New York State Environmental Facilities Corp,42.58824,-73.97401
161,City of McKinney TX Waterworks & Sewer System Revenue,33.194494,-96.579428
162,Town of Mattapoisett MA,41.987196,-70.741942
163,Village of Naplate IL,41.343341,-88.885931
164,Santa Clara Valley Water District,37.221614,-121.68954
165,San Leon Municipal Utility District/TX,29.233453,-94.888456
166,San Luis Water District,37.194806,-120.722802
167,City of North Liberty IA,41.670668,-91.590529
168,Paseo Del Este Municipal Utility District No 3,31.76648,-106.241423
169,Paseo del Este Municipal Utility District No 2,31.76648,-106.241423
170,Payette Lakes Recreational Water & Sewer District,44.85596,-115.618061
171,City of Peculiar MO Water & Sewer Revenue,38.646474,-94.354547
172,City of Sacramento CA Water Revenue,38.450136,-121.344329
173,County of Oconee GA Water & Sewerage Revenue,33.834125,-83.437728
174,Town of Orleans MA,41.706123,-70.164823
175,City of Osceola IA Water Revenue,41.029726,-93.785259
176,City of Oshkosh WI Water Revenue,44.085707,-88.668149
177,City of Ottawa KS,38.558019,-95.278962
178,City of Oxford MS,34.353078,-89.485385
179,City of Philadelphia MS Waterworks & Sewage System Revenue,32.752518,-89.119274
180,City of Phillips WI Water & Sewer System Revenue,45.679072,-90.35965
181,City of Pikeville KY,37.486031,-82.410912
182,City of Pilot Point TX,33.205132,-97.12114
183,City of Roswell NM Joint Water & Sewer Revenue,33.361604,-104.469837
184,City of Royse City TX,32.899886,-96.41205
185,Lynwood Utility Authority,34.196398,-118.261862
186,Charter Township of Lyon MI,42.660452,-83.38421
187,City of Petoskey MI Water & Sewer Revenue,45.590094,-84.986822
188,City of Peosta IA,42.463481,-90.878771
189,City of Las Vegas NV,36.21413,-115.014398
190,City of Las Vegas NV Special Improvement District No 813,36.21413,-115.014398
191,City of Laurel MS Water & Sewer System Revenue,31.616601,-89.168532
192,City of Lawrence KS Water & Sewage System Revenue,38.896417,-95.290947
193,City of Laredo TX Waterworks & Sewer System Revenue,27.760799,-99.340752
194,City of Little Rock AR Water Reclamation System Revenue,34.770311,-92.312996
195,City of Le Sueur MN,44.373424,-93.730143
196,Town of Mount Pleasent SC Water & Sewer Revenue,32.800458,-79.94248
197,Marin Water District Financing Authority,38.051367,-122.746396
198,City of Norwalk IA,41.332446,-93.568751
199,State of Nevada,39.15306,-119.747368
200,Village of Prairie du Sac WI,43.428001,-89.943318
201,Village of Richton Park IL,41.894294,-87.645455
202,State of Minnesota,45.015204,-93.099965
203,Massachusetts Clean Water Trust/The,42.338551,-71.018253
204,State of Vermont,44.274969,-72.609444
205,City of Verona WI,43.067468,-89.417852
206,Stuart Municipal Utilities Electric Revenue,41.683573,-94.501272
207,City of Sugar Land TX Waterworks & Sewer System Revenue,29.526602,-95.771015
208,City of Sulphur Springs TX,33.148967,-95.565434
209,Sunfield Municipal Utility District No 1,30.061225,-98.029267
210,City of Upper Arlington OH,39.969875,-83.009086
211,Williamson County Municipal Utility District No 12,30.649082,-97.605065
212,City of West Liberty IA,41.483776,-91.118699
213,Town of West Newbury MA,42.642708,-70.864909
214,West Sacramento Financing Authority,38.679609,-121.90275
215,West Williamson County Municipal Utility District No 1,30.649082,-97.605065
216,County of Westchester NY,41.152686,-73.745753
217,City of Thief River Falls MN,48.069247,-96.037725
218,City of Wichita KS Water & Sewer Utility Revenue,37.681045,-97.461054
219,City of Tulare CA Water Revenue,36.228834,-118.781055
220,Village of Sussex WI Water System Revenue,43.018368,-88.30424
221,City of Sweeny TX,29.167817,-95.434647
222,Sweetwater Authority,33.023604,-116.776117
223,Village of Wauconda IL,42.185968,-87.805939
224,City of Wausau WI Water System Revenue,44.898036,-89.757823
225,City of Wauwatosa WI Waterworks System Revenue,42.912643,-87.862312
226,Town of Westport CT,41.227413,-73.367061
227,Village of Tremont IL,40.508074,-89.51626
228,City of Trenton NJ,40.282503,-74.703724
229,Trinity River Authority Central Regional Wastewater System Revenue,32.772119,-97.291224
230,City of Tucson AZ Water System Revenue,32.128038,-111.783657
231,Tulsa Metropolitan Utility Authority,36.120318,-95.941813
232,Turtle Run Community Development District,26.193535,-80.476683
233,Yorba Linda Water District,33.675687,-117.777207
234,Town of Wayland MA,42.481718,-71.394916
235,Wayne County Water & Sewer Authority,43.218114,-77.049402
236,City of Waynesville MO,37.824835,-92.207022
237,County of Union NC Enterprise System Revenue,34.99182,-80.530426
238,St Marys Area Water Authority,41.427332,-78.653937
239,Washington Suburban Sanitary Commission,38.829278,-76.848188
240,City of Wolfforth TX,33.611469,-101.819944
241,City of Woodbury NJ,39.722875,-75.145679
242,Village of Woodbury NY,41.40241,-74.306252
243,Woodridge Municipal Utility District,30.298801,-95.50295
244,City of Windom MN,44.010639,-95.183152
245,City of Winston-Salem NC Water & Sewer System Revenue,36.132466,-80.256961
246,City of Story City IA,42.037538,-93.466093
247,City of Waller TX,30.01359,-95.982149
248,Town of Walpole MA,42.171738,-71.18111
249,City of Rensselaer IN Waterworks Revenue,41.017688,-87.118814
250,Reunion Ranch Water Control & Improvement District,30.239513,-97.69127
251,State of Rhode Island,41.869768,-71.578625
252,City of Waco TX,31.549596,-97.201511
253,Porter Municipal Utility District Auburn Trails Defined Area No 1,30.298801,-95.50295
254,Portland Water District Water System Revenue,43.808348,-70.330375
255,City of Romulus MI,42.284664,-83.261953
256,City of Washington Terrace UT Water Sewer Storm Water & Refuse Revenue,41.270325,-111.876883
257,City of Salt Lake City UT Public Utilities Revenue,40.667883,-111.92424
258,South Middleton Township Municipal Authority,40.164805,-77.263442
259,Washington County Water Conservancy District,37.262531,-113.4878
260,Township of Rockaway NJ,40.858896,-74.547292
261,Village of Rockville Centre NY,40.729612,-73.589414
262,City of Rockville MD,39.137381,-77.203063
263,City of West Bend WI,43.391156,-88.232917
264,City of West Des Moines IA,41.684816,-93.568971
265,West Harris County Municipal Utility District No 21,29.857273,-95.393037
266,City of Temple TX Utility System Revenue,31.04275,-97.481268
267,County of Santa Fe NM,35.514531,-105.963972
268,Santa Rosa Regional Resources Authority,33.729828,-116.002239
269,City of State Center IA,42.0417,-92.981403
270,City of Tomah WI,43.945175,-90.619969
271,City of Topeka KS Combined Utility Revenue,39.041805,-95.755664
272,Viridian Municipal Management District,32.766987,-96.778424
273,City of Robbinsdale MN,45.006121,-93.475228
274,Robinson Township Municipal Authority,40.469757,-79.980451
275,City of Universal City TX,29.448671,-98.520147
